folder,make,code,category,fuel,displacement,images_saved,caption,post_url
HalfCut__2,,,Half Cut,,,5,"“COMPLETE HALF CUTS” - (CABIN, ENGINE& TRANSMISSION, COMPLETE SET OF DOORS,FRONT AND REAR DIFFERENTIALS, COMPLETE SET OF SUSPENSIONS.)",https://www.facebook.com/jdmmiamimotors/posts/pfbid02WPps8vy8fZAvEqFEM9ZyNNu31rEKKpfFaSZbHRgWdEAisgbxxJYNKobyv96vigZel
Mitsubishi_4M42_3.0L__3,Mitsubishi,4M42,Engine,Diesel,3.0L,4,Mitsubishi 4M42 (3.0L) Inline 4-Cylinder Turbo charges Diesel engine.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0ZUGz7K7344FrnkAqXHJ814z7DEpDhFfPNC2hxrTB5MjpNSC5UVHoBHpS9CQEQXUCl
Nissan_HR12_1.2L,Nissan,HR12,Engine,Petrol,1.2L,5,NISSAN HR12 1.2L V4 TURBO CHARGED GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02WCuSrfVfq2QHMcYq8T8Kwvy65KQuuYrdoyQ4cKDkBF6uSkktdwCRrehA7xfq4egKl
Nissan_TD27-TURBO_2.7L__4,Nissan,TD27-TURBO,Engine,Diesel,2.7L,5,NISSAN TD27-TURBO & NON TURBO  2.7L EFI & MANUAL PUMP V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid01KJ5xMVjHYvS9jkg2AzYwLPGaZyrskJM3auGgkvgYaCAMET3e7zZ6WZ3YeJd5A3Rl
Nissan_QD32,Nissan,QD32,Half Cut,,,3,HALF CUT NISSAN HARD BODY QD32 – PICK UP,https://www.facebook.com/jdmmiamimotors/posts/pfbid02CvaJupBF6DZ3unahJQacqyRyiPaVY72yXwEwd2MguELFwWWTnkEqyz2TPkyJzXC3l
Toyota_HalfCut__4,Toyota,,Half Cut,,,1,TOYOTA LAND CRUISER COMPLETE HALF CUT,https://www.facebook.com/jdmmiamimotors/posts/pfbid02scx9Vc6WBDJx2suDWVtDEEV37f9NHj4NbRGu81b3L2hzc2bdb2Xa4qQeMyMM1CqGl
Isuzu_4JB1_2.8L__3,Isuzu,4JB1,Engine,Diesel,2.8L,4,ISUZU 4JB1 2.8L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0f21VrNZ62iHqW6n326hf46Sd7eEs4mtKQi8MvzbLYNfWVidgz2X1ircVbT1usoQGl
Toyota_1VD_4.5L__2,Toyota,1VD,Engine,Diesel,4.5L,2,"Toyota-1VD Twin Turbo & SingleTurbo V8 Diesel Engine, 4.5L",https://www.facebook.com/jdmmiamimotors/posts/pfbid0jjFddSuCp6QW13a3RhZsBCXKP7nwBb4iZx148YJaTmpAJdx4KSAGQhDKWyC5YRt7l
Toyota_HalfCut__5,Toyota,,Half Cut,,,2,TOYOTA LANDCRUISER PICK UP COMPLETE HALF CUT,https://www.facebook.com/jdmmiamimotors/posts/pfbid022vERFbsmtxjPwzEg4BcGYy3qZwmRPrSW7EkBwtKroK2pSi1gVDGxLWm4SUZaMUTRl
Nissan_QG18_1.8L,Nissan,QG18,Engine,Petrol,1.8L,5,NISSAN QG18 1.8L / QG15 1.5L V 4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0NRDLUtT5N2hvNCK9GAu2c8m1APGaZedTGjpUnj7zwpHPU6J5zrmDuqgb7pj3srPGl
Gearbox,,,Gearbox,,,5,TOP QUALITY GEARBOXES @ BEST PRICES AVAILABLE IN THE MARKET,https://www.facebook.com/jdmmiamimotors/posts/pfbid02v1Rttb6jMFVSrMBsqopSvJBxw4EyNdh9G6krF5q8XfPmotGJoXAwBoj48nFvjrgQl
HalfCut__3,,,Half Cut,,,5,“COMPLETE HALF CUTS AND CARS” –,https://www.facebook.com/jdmmiamimotors/posts/pfbid0uuCuYFyjs2ywqMLXw2vken3QT2CktibLtzwmJfhZ5hKQ9YAD1wPZX9DGy3Fkfvqfl
Isuzu_4HG1,Isuzu,4HG1,Gearbox,,,5,ISUZU 4HG1 ALUMINIUM AND STEEL GEARBOXES,https://www.facebook.com/jdmmiamimotors/posts/pfbid02HjVpbRme9eF8921XGUQtNYN1VCSHBDfX4H6D93cER4X9HDyvuHDZwG7oV44RXbpel
Toyota_1NZ_1.5L__4,Toyota,1NZ,Engine,Petrol,1.5L,4,"Toyota 1NZ(1.5L) & 2NZ(1.3L), V4 GASOLINE ENGINE",https://www.facebook.com/jdmmiamimotors/posts/pfbid02FMnQss3qUUKn4hbU6nDDV2cn2UCHRYrdBBT6WsJmr9kF4hEDZKY2YSEHvVmhd4vhl
Nissan_ZD30_3.0L__5,Nissan,ZD30,Engine,Diesel,3.0L,5,NISSAN ZD30(3.0L) TURBO & NON TURBO V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02o38jkK54XSxUKuEXJ9WTQGgWFiLSYrHZmFRXi7KxvftLh13Bx8prkWfhz1zH4xpql
Nissan_KA20_2.0L__2,Nissan,KA20,Engine,Petrol,2.0L,5,NISSAN KA20 (2.0L) KA24 (2.4L) V4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02wDYSehe3MzthoXDawiX9BcfeBgW1GeUajRWt95Uph5kUeo9m5sfPQDHj8Mt1DNPkl
Hino_NO4C_4.0L__2,Hino,NO4C,Engine,Diesel,4.0L,4,HINO NO4C 4.0L V4 TURBO AND NON TURBO DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02wLRXChpwguHe8P4uV7yzc1z6wFtc8uU43xFiEWi7FQC8yoHSeeQK8E6kG52Pctjjl
Mazda_WE_3.0L__4,Mazda,WE,Engine,Diesel,3.0L,5,MAZDA WE 3.0L / WL 2.5L 12V/16V V4 DIESEL ENGINE AVAILABLE,https://www.facebook.com/jdmmiamimotors/posts/pfbid094FvfXDDp4Rje7ucWdrgVq5CzffnzbtLnqCjkzC5u1Sdkh7Dk1LzptW3PgWJ7yTLl
8L_1.8L,,8L,Engine,Petrol,1.8L,3,AUDI BFB 1.8L V4 TURBO CHARGED GASOLINE ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid02pSc3KW6w66saHwKY5ZNQ9TVtvRuLRBy7vDSZRDaUGfaFAjAei6uDHSUCAm6KtUDWl
Kia_J2_2.7L__4,Kia,J2,Engine,Diesel,2.7L,5,KIA J2(2.7L) KIA JT(3.0L) V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02TatHRnYVNwCPuorLeDXQd3U48NaBHd7AvJKmXiYou9WfE8RdktGzgTEzzJttoZJSl
WE,,WE,Half Cut,,,5,"WE HAVE ALL TYPES OF USED EUROPEAN HALF CUTS, ENGINES, TRANSMISSION AND USED AUTO PARTS",https://www.facebook.com/jdmmiamimotors/posts/pfbid02eCW6JDz4bYh7pe6Czs9ixGr2VN6bM3ZqKqCJ7dQ71D3vqNjUvkppupYGwEgt6MzPl
Toyota_1HD_4.2L,Toyota,1HD,Engine,Diesel,4.2L,3,TOYOTA-1HD TURBO (12 VALVE) V6 4.2 L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid034eEdfXgev9tAr7xZiSbBDRihNrqH14QsgsE4TdYyKaJcZ2h3Cvd8tJ1g8MFtRYml
Isuzu_4BD2_3.9L,Isuzu,4BD2,Engine,Diesel,3.9L,4,ISUZU 4BD2  TURBO 3.9L  V4  DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0vh5GKNy5n9QNQJzzriuYfRSXEN1Sa5xhND1iE832g7q5ciQ6EkCQZ1qEKXuae5ZQl
Toyota,Toyota,,Engine,,,4,TOYOTA HILUX HALF-CUTS:,https://www.facebook.com/jdmmiamimotors/posts/pfbid0PuNz5ZJA1VtaPQXRUHPev753Kwb7E1ajAyb42DprxpNr6VnRSBu2Jfpbd53gMY9Cl
Mitsubishi_4D56_2.5L,Mitsubishi,4D56,Engine,Diesel,2.5L,4,MITSUBISHI 4D56 2.5L V4 NON TURBO AND TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0BeRTTRcSANLnjWv7JLH3pNq3YgH2MXV6ugWBbgGysjCMVDJWDDgqS7o1HNcvquGxl
Mitsubishi_4D56-U_2.5L__4,Mitsubishi,4D56-U,Engine,Diesel,2.5L,4,MITSUBISHI 4D56-U  2.5L V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0E3tDJEQdgvLomWTnNmo6kGUMLsDddg8ZpTUakbnU83bkmtxtEYSg6uehMUsMidQGl
Hyundai_D4CB-TURBO_2.5L__2,Hyundai,D4CB-TURBO,Engine,Diesel,2.5L,3,HYUNDAI –D4CB-TURBO 2.5L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0v1DHbQVLvdQsyddkdhAw47PEZQnU8gpiSRSXd2reuvH1rumvwNAhRb3ZuqES42nUl
Hyundai_D4HA_2.0L__2,Hyundai,D4HA,Engine,Diesel,2.0L,4,HYUNDAI D4HA (2.0L)  / D4HB (2.2L) TURBO CHARGED DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0mGNKzpmJMt4CzSrjvNpWyVf6P7BsEWf7D9YoT2wubRBXxA633gayiycgVVqNJfFzl
Nissan_TD42_4.2L,Nissan,TD42,Engine,Diesel,4.2L,4,NISSAN TD42 TURBO AND NON TURBO 4.2L V6 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid032kqcrx4zdFESuPPwgX5jWTcu8hSNcA6mXBXGt7NxX2fv5sFVKdVik6m4JRSRjgVql
Toyota_2L_2.4L__2,Toyota,2L,Engine,Diesel,2.4L,3,Toyota-2L NON TURBO  2.4 L V4 Diesel Engine,https://www.facebook.com/jdmmiamimotors/posts/pfbid0328h19sFbLVUPMAhTf8rLzmPZJBDbGaYQhecxH2YVtxN8Xztev9VmWeB6bt824kLMl
Toyota_2L_2.4L__3,Toyota,2L,Engine,Diesel,2.4L,3,Toyota-2L/2L TURBO  2.4 L V4 Diesel Engine,https://www.facebook.com/jdmmiamimotors/posts/pfbid02eRAqGVtpSuhtrRucPWzxCxxUFUQPRmamuoBFCtNwyGhpoU3LNLFznccZLfZzgy4Al
Toyota_2L_2.4L__4,Toyota,2L,Engine,Diesel,2.4L,1,Toyota-2L/2L TURBO  2.4 L V4 Diesel Engine,https://www.facebook.com/reel/727527202869049/
Toyota_3L_2.8L__5,Toyota,3L,Engine,Diesel,2.8L,1,"Toyota-3L, 2.8 L V4 Diesel Engine",https://www.facebook.com/jdmmiamimotors/posts/pfbid02TaSvTjtHpsS9FfYwLL87XK6NW7B29QxaisEx1cdbtnjbuCE5P6T7wpDvnss6xqoKl
Toyota_CompleteCar,Toyota,,Complete Car,,,4,TOYOTA LANDCRUISER COMPLETE CARS & HALF-CUTS:,https://www.facebook.com/jdmmiamimotors/posts/pfbid037UJSqfZm6vSsUcbriQiV1kfUQfXgRCV9hrXhNB1cUgyuT4gNmErWdgcBK6yVcyxEl
Toyota_2TR_2.7L__2,Toyota,2TR,Engine,Petrol,2.7L,5,TOYOTA 2TR  2.7L / 1TR 2.0L - V4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02KQ9YwZ55v1SwYfyjtdd4WDtFQaasYKuH8afjNHNcmxiXwXFgRM9Tu2kCpZownofFl
HalfCut__4,,,Half Cut,,,4,HALF CUT VOLKSWAGEN AMAROK,https://www.facebook.com/jdmmiamimotors/posts/pfbid02vfsXdvmQ8qCAnvVktcZCokCzh79aBLreeZhd3L3yisSWXA65fiZ7DytWdjmktiv4l
Mitsubishi_4D56,Mitsubishi,4D56,Half Cut,,,3,HALF CUT MITSUBISHI TRITON - 4D56 HALF CUTS,https://www.facebook.com/jdmmiamimotors/posts/pfbid04cCGXrQsv6zAWE48FuSDv2a9oGzTP2a5XpQVx3dri6gRoMARm7XTzUqkdRwUwzFDl
Nissan_YD25__3,Nissan,YD25,Half Cut,,,3,HALF CUT NISSAN NAVARA YD25,https://www.facebook.com/jdmmiamimotors/posts/pfbid0NpFrFehXFP5595uJeTf4GQeSpBFPCAtJ9xMYVPiKNaXeLHFPjAkh4atiE5ipntgUl
Toyota_CompleteCar__2,Toyota,,Complete Car,,,4,TOYOTA LANDCRUISER COMPLETE CARS & HALF-CUTS:,https://www.facebook.com/jdmmiamimotors/posts/pfbid0ViWcoCARtGtoXZXUuDWi6rQXCWFs9SeCx31hEFX3csrUfboa5tmdzf1JcdLs8cbTl
Isuzu_4JA1-T_2.5L__3,Isuzu,4JA1-T,Engine,Diesel,2.5L,3,ISUZU  4JA1-T 2.5L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02QahERJ6rnfpmvND3aabeEXa3rd2cP5VXbDFcWwNMPj1AsBsURKLGJDgqrNQXhegKl
Isuzu_4HF1__3,Isuzu,4HF1,Engine,Diesel,,4,ISUZU NPR (4HF1- 4.33L) DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0Lo5GWBsM7MB5XfH4um7HsmJpMcmGRAV4WBzr9EF15ryE4k13hfM2zxyP28yRYn9Al
Nissan_TD27-TURBO_2.7L__5,Nissan,TD27-TURBO,Engine,Diesel,2.7L,4,NISSAN TD27-TURBO & NON TURBO  2.7L EFI & MANUAL PUMP V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid02pEvHMpM3kfZS6FigkTNbJC591U98fjStyfqGG9qYHBbd1TuFXStbpMsaCyemyXakl
Nissan_TD27-TURBO_2.7L__6,Nissan,TD27-TURBO,Engine,Diesel,2.7L,2,NISSAN TD27-TURBO & NON TURBO  2.7L EFI & MANUAL PUMP V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0aa49ffsRDuNHQ8AxGaznwXWu5SLrY8Ec8VQFfNhTSxtpbU4ZqbNHN1CDALZygJMQl
Toyota_1KD_3.0L__7,Toyota,1KD,Engine,Diesel,3.0L,1,TOYOTA 1KD (3.0L ) / 2KD ( 2.5L ) V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid04METerNetWfSL1tNenho1yWXosagVF3swL525A3UmKWQRm8egdMkaGpg8vGuTQHLl
UNSORTED__6,,,Engine,,,5,LOADING 🚛🎊,https://www.facebook.com/jdmmiamimotors/posts/pfbid0owLYCQjVie19GsvUoPaBPCDKW1ubWTGj73jmBVFis9msH9MPECbQ2Pee5ZJMdtP9l
UNSORTED__7,,,Engine,,,3,LOADING 🚛🎊,https://www.facebook.com/jdmmiamimotors/posts/pfbid0dTN88A89V2Lv2SaLqNwCDKPp9SKtHTAtpthuCLVKM1wgijqGWhfBjZighPKKo7VAl
UNSORTED__8,,,Engine,,,1,LOADING 🚛🎊,https://www.facebook.com/jdmmiamimotors/posts/pfbid036EDtBuSWNtgwHZYC97MPBCx9EZdAyRPvmiwCCjny3UPxPh8tVSwMTWAztugYpCw5l
UNSORTED__9,,,Engine,,,1,LOADING 🚛🎊,https://www.facebook.com/jdmmiamimotors/posts/pfbid02t2sMmE2FKyt67zTupbesiG2mfXDv39bz9sdfoe93zPwM3SSN6FFZ1NmmJLtsMUfbl
UNSORTED__10,,,Engine,,,1,LOADING 🚛🎊,https://www.facebook.com/jdmmiamimotors/posts/pfbid0z1B6fsYenKX8Qh6ixgeYwbkw1QL1ygCoPxU611T5ezZmcvPQdVW5Acn2QzBBjxmzl
UNSORTED__11,,,Engine,,,1,LOOKING FOR TOP QUALITY USED VEHICLE PARTS...?,https://www.facebook.com/jdmmiamimotors/posts/pfbid02YpvfA1j3xWeWwmDipo5muMfXDfLAuMFLa6vyR5LQ6CBegaRKU5sTDCKuvLnPzNUyl
HalfCut__5,,,Half Cut,,,1,ALL KINDS OF COMPLETE HALFCUTS AND ENGINES…,https://www.facebook.com/jdmmiamimotors/posts/pfbid0ijvBf3fXR6zKoLptkYdsLDv9mXW4fzd7uPKdai47RfuePqtWzahnPDyHwx1Ludw9l
Nissan_YD25__4,Nissan,YD25,Half Cut,,,3,HALF CUT NISSAN NAVARA YD25,https://www.facebook.com/jdmmiamimotors/posts/pfbid02KCTpR6xJRDm9WJnsDjqAGPJATXNe9gjpRYHevQert5GqmnezrguQ99TiWN9cB5G1l
Nissan_ZD30,Nissan,ZD30,Half Cut,,,4,HALF CUT NISSAN NAVARA /PATHFINDER  ZD30,https://www.facebook.com/jdmmiamimotors/posts/pfbid037c4B249m1rbC4ypyWFdddAZ7Cjmc4GfduZ69JC5itbVRViMAzgsbRdyaTj8HRjXHl
UNSORTED__12,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid0355w2ptKJremKbUEf74mmVjeAUmqgJ6yQbh9xyayv3h7gyznswPPTXfxqGRTZ6Lmyl
UNSORTED__13,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid024KbPSb9sXjxuvycJ6FX511fTbHaK21MCbBNfQmJQuKcDe7b35ch6nw1zTfXKgTYul
UNSORTED__14,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid0o9Mr35zNsaCywUrujqjFzvY3rvHJhSAqwonxjwE2SLiiuFk6HvtyNUb6SxXqwUxGl
UNSORTED__15,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid02KqA73CYaMK1pNoJrNAiEKRsCRWEVE1g3VkME7fPF5W2Tva2yews4ucdf6BGA3SFwl
UNSORTED__16,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid08Q9J4nosozfY4yCkyf9s5U7sdjjodox3oDnkc4eV3Jmv5kKuzZR3u9Bujqpt6cAPl
UNSORTED__17,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid033qk7MgoBNF4FK2bvocgrxZvUC6DuAfUPLNQen8QMj1HCCkArNTwPPVefNN7mbysDl
UNSORTED__18,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid0dpYxPUYRb64pxmP2Twebn4eBqUufRLRJQTvniymnVRAqveHcb9KKrRHhXjng6BpYl
UNSORTED__19,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid02QAfjdwhYPQV9HiYYzKEyq3VC43rZceW7sihPMWqxpjqVFdXVL7q4hqqQuhjiTk5Xl
UNSORTED__20,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid0pZ3pNgXoJ5WC4VjfDgUkb82DNf6An94rGKBRzWuUEmtQuhN8rvQVT92yVbbYxkryl
UNSORTED__21,,,Engine,,,5,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid033XBJHEVVYWdrFz27StitbK4D6mo5dn1dXw58Dwp7EJEHhivfBngqyGd8DsVDXGKYl
UNSORTED__22,,,Engine,,,5,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid0gG64W8gLkcogdMdrj6XVPrguEPSoKfjLoKeBG9tcbPvAiFYMriJRY5F1XXah3wiEl
UNSORTED__23,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid06StmXrngw9qzSbhkSmd2iooCfp1GscrZ4dAZhLMwS81xY9C9oR7aEPGMwJPFa9s8l
UNSORTED__24,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid02ddJUVNuUXoJbB2cFy9eGhQBZFSoY8YC5bw5cW1R3sXWMHJLJmMDmrAjzvndjtZ6ol
UNSORTED__25,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid02BqETT2nroN9fLLwNYx8rbRsj19jhaKXpoeGJynRFiquHowGcaneA9QJEkUNnZ28ml
UNSORTED__26,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid02oiEQE6uUikwC1fKwHvjCejbNfgQqMLrGiK7rhj1ECDgyyrT4222Fb4MYL8M1rKV8l
UNSORTED__27,,,Engine,,,1,LOADING... 🚛🚢,https://www.facebook.com/jdmmiamimotors/posts/pfbid02cdria1Z83qYLnDDAaopKUhwp4pe1Cyt5yjZiCwKX9zpuqvzYwmw6GrXwtS5WneTKl
UNSORTED__28,,,Engine,,,1,LOADING....,https://www.facebook.com/reel/380923327858249/
Isuzu_4JJ1_3.0L__2,Isuzu,4JJ1,Engine,Diesel,3.0L,3,ISUZU 4JJ1 TURBO INTER COOLER - DMAX – 3.0 L DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid02AtJMu6ADq5bCjHbxPTTrmEdDoWCceSN3qkLoTaqbd7GNebn3V5oPmL5ANphbupoSl
Mitsubishi_4D56-U_2.5L__5,Mitsubishi,4D56-U,Engine,Diesel,2.5L,3,MITSUBISHI 4D56-U  2.5L V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid037FjzP88aVxwAEUWBQnMA2PY7RHZgp4aKmeuNFw7TWATQ8s1XgLpD9xqVN4cDPcMMl
Nissan_YD25_2.5L__7,Nissan,YD25,Engine,Diesel,2.5L,5,NISSAN YD25 2.5L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0xfRBYopDctXTfdnyXbFB8WRag17a5EfJqnt7XkUNMPsyKBXRhMaZ8TjURJwogggsl
Hyundai_H1__2,Hyundai,H1,Half Cut,,,1,ALL KINDS OF HYUNDAI H1 HALFCUTS AND ENGINES…,https://www.facebook.com/jdmmiamimotors/posts/pfbid02ejjeLxCWGg7tidyCFJ21ozW8a3EFJTaKnVhsFaPP6WhB4oPbRC7Kn418K39k1MZ1l
UNSORTED__29,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid02nVnpt9Tk5ndj86Pnqk6YRM1BVQFf1Viv8z7KVABNGSce7qV1YrymZNR6YbBVRXbkl
UNSORTED__30,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0XZY7wooZghQB4KtD2G3drg2YLNe4x1uUKw2hgbhCYQhxhbpDfCJLF8m2NbKnjn8El
UNSORTED__31,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0hbX2M4ReooA4WasPwnuXPDsbdP2wytHkRNawCuvtKMBJdh5LzbxUPkbVnA7WbBKal
UNSORTED__32,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid02sCAHbbmfSLLz7juBx4XS6MCd3B16XyNyi9qiLYJQmEAMNoEfdfVmLvSD1nnZgt4zl
UNSORTED__33,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0367EVgw8vxjFTAhU2dSK1TcRdNUnDQJAyMw8uJNDBMF4n825dVbzGXGdAUjdobByWl
UNSORTED__34,,,Engine,,,2,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0eVKbHRURA8iDs3V3yydYyEPj6KU72uabGgje3twJKKjheWcTMUJ84NMY2ku7uarYl
UNSORTED__35,,,Engine,,,3,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid02y3UbyHjRt7MMCLS2scDt2sdKicVJe5enMkSAJEC5jrGYvamjP1abc2FiN8SLjudAl
UNSORTED__36,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0fBHvpqM2nKdD3Zm4LVW64qXwiFpRxrcvA4qNSQjsWPSuf35jCJBGxCAicF1iBTzBl
UNSORTED__37,,,Engine,,,1,OFF LOADING..🎊🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid06C3J34WEqKRTRpXTJXirEw64aHqh8nTGMvTBEdZqW6TG74cGscKp3wd155Ywr6CYl
UNSORTED__38,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0tbR1JqqFR4Ld3rx4mpYshz7hpG8W2HBwxHCcn47sZiMYVuMi5hnQ3WWCv9swets1l
UNSORTED__39,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0x9pbNeeCCGjsZM4M6Xezhe38ywBNKL5HfvMKHAmp3B1Yp24D7WRS8K6H9hSk39eLl
UNSORTED__40,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0XcvUp6CaTwiMwPTWDAXQrQGxc63HFnqveCSv2Rf4yCtPtuqAPHrrne1CsVqNwH6ql
UNSORTED__41,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0YRtCrUNmWE2HrHg4EKcLuvik8CP5nJtQvotiw4sH6rFfntLRsq5LTH6DPbfhCasZl
UNSORTED__42,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid026zLvsmcX2k5m2A38or7boNvgu33QnrG2i3iyTaToj2rjod3b3gzAD7zUEJfAf7Fsl
UNSORTED__43,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid02U4d9E2c9LwsEFXwRSvREF53TK744GTLDWnM68HtsHYZwyD1AgrQVJ9Tp91amHsjbl
UNSORTED__44,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0qhn2hkKCNCYk3djdpyseWRvPUdr7JEkxs2nHsnrhnPysLCCbMwV3smRm8JrBVadSl
UNSORTED__45,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid035pk1T6XrwXdJ4Z36gTv8Wv3WjkLn74pPwtWSVUqYBSL7FKLg98F2Bgm6ZMskX8wLl
UNSORTED__46,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid0WYM1uCNpMDMJk5M2twbpGYDGUXPCc1XAEehdds45QDp6AyZVC7Q2ZcTYB3kFEtCLl
UNSORTED__47,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid02tKMo8bM7fv3oCEaqSi9jVvyT5y1U9TQaTkhd5nvSiACXPbPwqaN6NRLJZf8whEJ5l
UNSORTED__48,,,Engine,,,1,LOADING..🚛,https://www.facebook.com/jdmmiamimotors/posts/pfbid031oUBnCRFwaLqkHvfW5WXUTsAMmkHg9kJa4NgevwocVBrBhpCTSzSZYKVVqThUAm9l
UNSORTED__49,,,Engine,,,1,LOADING..🚛🎊,https://www.facebook.com/jdmmiamimotors/posts/pfbid0ahvDEGDC4jkNitAcegAm733MVV3LqtYYFaT1ZWsg3d3eNfGssJNyD53f65ia153Cl
