folder,make,code,category,fuel,displacement,images_saved,caption,post_url
Mitsubishi_4D34-4D33,Mitsubishi,4D34-4D33,Engine,Diesel,,5,MITSUBISHI 4D34-4D33-4D32 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02pKHg7AB8j6UibDcHEChverzUcjmn6UYoKEihza3vSyi8piyh8rq6qcgo5DYwqzYBl
Nissan_YD25_2.5L__4,Nissan,YD25,Engine,Diesel,2.5L,5,NISSAN YD25 2.5L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0s3KH4QY5fin4P38uVfE5T8UohtQhhES29FKWK9kFUhuCCzVv4WKxGgSw2yb8QRknl
UNSORTED,,,Engine,,,5,LOADING 🚛🚛⚡,https://www.facebook.com/jdmmiamimotors/posts/pfbid02U8tB9w3MYvsUkRutkQo2GLZ6f6JJZ2Q6TX38E6eWFBTwfge32q2rPYVfe1nx6M62l
Toyota_1KD_3.0L__4,Toyota,1KD,Engine,Diesel,3.0L,5,TOYOTA 1KD 3.0L V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0Embr6R5SVDDaLu9KNByxu5toYYTJQj6f3gzFQHrLR4GVRB4fUHiQqzJUnEzHCz7Ll
Nissan_TD27_2.7L__2,Nissan,TD27,Engine,Diesel,2.7L,5,NISSAN TD27- 2.7L EFI & MANUAL PUMP V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid02JrNKyp5mbmqeKo7vEY2VYJfG4MRQSfyRQHMJAd85VAcx1wU1qcEGauodrQjHFf2Vl
Toyota_5L_3.0L__4,Toyota,5L,Engine,Diesel,3.0L,5,TOYOTA 5L 3.0L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0J1mefcV84xwUgKZHt7gMFtVG9vkSxWpZTTVi7MNmEmV5r1S6QkXZtS19pGt4xNTxl
UNSORTED__2,,,Engine,,,5,LOADING 🚛🚛⚡,https://www.facebook.com/jdmmiamimotors/posts/pfbid0FVYCXUXzpciaZiMtmn5QnV5icimGA8WCrzfwasP1jJgsA3Soxo9Rtfd97R8B9b91l
Isuzu_HalfCut,Isuzu,,Half Cut,,,5,“ISUZU TRUCK HALF CUTS AND AUTO SPARE PARTS “,https://www.facebook.com/jdmmiamimotors/posts/pfbid0qhLhAwJ6eyPLnZ9FD3dPtGB6z7h1fYxyeGvfhY14vCDdFg8TsTj9qxv4iruunvp4l
UNSORTED__3,,,Engine,,,5,CARGANDO 🚛🚛⚡,https://www.facebook.com/jdmmiamimotors/posts/pfbid02W7Z56jWiLd77k1rdCE8zWSGN2psCPaHhjvkwL1mvNzfvNs7KCVkiDPDWCd4EoYR7l
Isuzu_4HF1__2,Isuzu,4HF1,Engine,Diesel,,4,ISUZU NPR- 4HF1- 4.33L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02MiNHqsHCisFEUjr7DZTWW5UCE2KXugXgBxrEYGfZhrnW4bqPUuCyutDsDCXRPsCyl
